condition,time_ms,mean_H
B,8298.5,1.0012037754058838
B,8298.6005859375,1.0012037754058838
B,8298.7001953125,1.0012037754058838
B,8298.7998046875,1.0012037754058838
B,8298.900390625,1.0012037754058838
B,8299.0,1.0012037754058838
B,8299.1005859375,1.0012037754058838
B,8299.2001953125,1.0012037754058838
B,8299.2998046875,1.0012037754058838
B,8299.400390625,1.0012037754058838
B,8299.5,1.0012037754058838
B,8299.6005859375,1.0012037754058838
B,8299.7001953125,1.0012037754058838
B,8299.7998046875,1.0012037754058838
B,8299.900390625,1.0012037754058838
B,8300.0,1.0012037754058838
B,8300.1005859375,1.0012037754058838
B,8300.2001953125,1.0012037754058838
B,8300.2998046875,1.0012037754058838
B,8300.400390625,1.0012037754058838
B,8300.5,1.0012037754058838
B,8300.6005859375,1.0012037754058838
B,8300.7001953125,1.0012037754058838
B,8300.7998046875,1.0012037754058838
B,8300.900390625,1.0012037754058838
B,8301.0,1.0012037754058838
B,8301.1005859375,1.0012037754058838
B,8301.2001953125,1.0012037754058838
B,8301.2998046875,1.0012037754058838
B,8301.400390625,1.0012037754058838
B,8301.5,1.0012037754058838
B,8301.6005859375,1.0012037754058838
B,8301.7001953125,1.0012037754058838
B,8301.7998046875,1.0012037754058838
B,8301.900390625,1.0012037754058838
B,8302.0,1.0012037754058838
B,8302.1005859375,1.0012037754058838
B,8302.2001953125,1.0012037754058838
B,8302.2998046875,1.0012037754058838
B,8302.400390625,1.0012037754058838
B,8302.5,1.0012037754058838
B,8302.6005859375,1.0012037754058838
B,8302.7001953125,1.0012037754058838
B,8302.7998046875,1.0012037754058838
B,8302.900390625,1.0012037754058838
B,8303.0,1.0012037754058838
B,8303.1005859375,1.0012037754058838
B,8303.2001953125,1.0012037754058838
B,8303.2998046875,1.0012037754058838
B,8303.400390625,1.0012037754058838
B,8303.5,1.0012037754058838
B,8303.6005859375,1.0012037754058838
B,8303.7001953125,1.0012037754058838
B,8303.7998046875,1.0012037754058838
B,8303.900390625,1.0012037754058838
B,8304.0,1.0012037754058838
B,8304.1005859375,1.0012037754058838
B,8304.2001953125,1.0012037754058838
B,8304.2998046875,1.0012037754058838
B,8304.400390625,1.0012037754058838
B,8304.5,1.0012037754058838
B,8304.6005859375,1.0012037754058838
B,8304.7001953125,1.0012037754058838
B,8304.7998046875,1.0012037754058838
B,8304.900390625,1.0012037754058838
B,8305.0,1.0012037754058838
