preset,rho_passive,seed,H_mean,H_std,H_min_obs,H_max_obs,H_floor_frac,H_ceil_frac,mean_rate_hz,elapsed_s,passes
DEFAULT_HDP,0.23535468936502515,0,1.2190364599227905,2.882020950317383,0.21191765367984772,9.916056632995605,0.0,0.1,43.28079605102539,0.1536002920474857,0
DEFAULT_HDP,0.23535468936502515,1,1.2198303937911987,2.8815994262695312,0.21294541656970978,9.912363052368164,0.0,0.1,42.866397857666016,0.11918320797849447,0
DEFAULT_HDP,0.23535468936502515,2,1.2191756963729858,2.881977081298828,0.21229435503482819,9.912383079528809,0.0,0.1,43.22319793701172,0.1200310830026865,0
DEFAULT_HDP,0.23535468936502515,3,1.2194410562515259,2.8818907737731934,0.2114928662776947,9.914127349853516,0.0,0.1,43.12199783325195,0.15632220800034702,0
DEFAULT_HDP,0.23535468936502515,4,1.2191746234893799,2.881958484649658,0.21104563772678375,9.915574073791504,0.0,0.1,43.15639877319336,0.12168500002007931,0
DEFAULT_HDP,0.36106407876409946,0,1.39126455783844,0.9866690635681152,1.0380109548568726,4.788793563842773,0.0,0.0,2.1963999271392822,0.12013008398935199,0
DEFAULT_HDP,0.36106407876409946,1,1.3888673782348633,1.004204511642456,1.0191795825958252,4.8599724769592285,0.0,0.0,2.089600086212158,0.15772258292417973,0
DEFAULT_HDP,0.36106407876409946,2,1.393979549407959,1.0117440223693848,1.0200140476226807,4.860532283782959,0.0,0.0,2.104799747467041,0.11932499997783452,0
DEFAULT_HDP,0.36106407876409946,3,1.395799160003662,1.0109196901321411,1.0199427604675293,4.862703323364258,0.0,0.0,2.0423998832702637,0.12527449999470264,0
DEFAULT_HDP,0.36106407876409946,4,1.394043207168579,1.0026936531066895,1.0210766792297363,4.857043266296387,0.0,0.0,2.03879976272583,0.13953795796260238,0
DEFAULT_HDP,0.5539182980610754,0,1.5558778047561646,1.1506229639053345,1.0980815887451172,5.500396251678467,0.0,0.0,2.1903998851776123,0.18402941699605435,0
DEFAULT_HDP,0.5539182980610754,1,1.5541901588439941,1.1624659299850464,1.0848406553268433,5.548252582550049,0.0,0.0,2.1155998706817627,0.12622195889707655,0
DEFAULT_HDP,0.5539182980610754,2,1.5572898387908936,1.1739020347595215,1.0813798904418945,5.562135696411133,0.0,0.0,2.089200019836426,0.1660256669856608,0
DEFAULT_HDP,0.5539182980610754,3,1.5583873987197876,1.1730098724365234,1.083490252494812,5.5621747970581055,0.0,0.0,2.1071999073028564,0.18453345901798457,0
DEFAULT_HDP,0.5539182980610754,4,1.5584840774536133,1.1616504192352295,1.0881472826004028,5.53928279876709,0.0,0.0,2.118799924850464,0.13085195806343108,0
DEFAULT_HDP,0.8497812409839359,0,1.7625198364257812,1.3605607748031616,1.167236566543579,6.376674652099609,0.0,0.0,2.140399932861328,0.1329892500070855,0
DEFAULT_HDP,0.8497812409839359,1,1.759199619293213,1.3399064540863037,1.179477334022522,6.322291851043701,0.0,0.0,2.163599729537964,0.1551332090748474,0
DEFAULT_HDP,0.8497812409839359,2,1.7584420442581177,1.340333104133606,1.1782772541046143,6.323107719421387,0.0,0.0,2.1735999584198,0.12901324999984354,0
DEFAULT_HDP,0.8497812409839359,3,1.7596559524536133,1.3592571020126343,1.1668226718902588,6.374790668487549,0.0,0.0,2.137199878692627,0.12426266702823341,0
DEFAULT_HDP,0.8497812409839359,4,1.7619123458862305,1.3593899011611938,1.1681843996047974,6.376031875610352,0.0,0.0,2.12719988822937,0.12408112490084022,0
DEFAULT_HDP,1.303672689737678,0,2.006450891494751,1.5580788850784302,1.286473274230957,7.271484375,0.0,0.0,2.1987998485565186,0.17400695802643895,0
DEFAULT_HDP,1.303672689737678,1,2.0073091983795166,1.563555359840393,1.2818280458450317,7.285828590393066,0.0,0.0,2.149199962615967,0.1266708339098841,0
DEFAULT_HDP,1.303672689737678,2,2.007070302963257,1.564649224281311,1.280462622642517,7.287882328033447,0.0,0.0,2.156399726867676,0.1315488750115037,0
DEFAULT_HDP,1.303672689737678,3,2.0079472064971924,1.5578993558883667,1.287211537361145,7.272066593170166,0.0,0.0,2.1735999584198,0.15149437508080155,0
DEFAULT_HDP,1.303672689737678,4,2.0093607902526855,1.5642480850219727,1.2823052406311035,7.290261268615723,0.0,0.0,2.1439998149871826,0.11846541601698846,0
DEFAULT_HDP,2.0,0,2.307210683822632,1.8064250946044922,1.4243589639663696,8.338494300842285,0.0,0.0,2.1935999393463135,0.123917292105034,0
DEFAULT_HDP,2.0,1,2.306572437286377,1.8060903549194336,1.4248498678207397,8.336522102355957,0.0,0.0,2.184000015258789,0.14683524996507913,0
DEFAULT_HDP,2.0,2,2.3077034950256348,1.8064781427383423,1.4243059158325195,8.33749008178711,0.0,0.0,2.1579997539520264,0.12502108293119818,0
DEFAULT_HDP,2.0,3,2.3073923587799072,1.8063586950302124,1.424700140953064,8.339021682739258,0.0,0.0,2.1599998474121094,0.12013654201291502,0
DEFAULT_HDP,2.0,4,2.307684898376465,1.8060462474822998,1.4244507551193237,8.338278770446777,0.0,0.0,2.1703999042510986,0.13697724998928607,0
